ship_to_id,customer_id,name,street,city,state,zip,dock_hours,appointment_required
NIC-CUST0001-S1,NIC-CUST0001,Iron City Chemical Inc. - Plant 9,8736 River Rd,Rockford,IL,61195,07:00-15:30,N
NIC-CUST0002-S1,NIC-CUST0002,Rock River Plastics Inc. - Plant 8,4165 Front St,Fort Wayne,IN,46878,07:00-15:30,N
NIC-CUST0003-S1,NIC-CUST0003,Cardinal Conveyor Corp. - Plant 3,2222 Market St,Fort Wayne,IN,46832,07:00-15:30,N
NIC-CUST0005-S1,NIC-CUST0005,Rock River Water Authority Corp. - Plant 2,5244 Enterprise Ct,Peoria,IL,61646,07:00-15:30,Y
NIC-CUST0005-S2,NIC-CUST0005,Rock River Water Authority Corp. - Warehouse 8,2119 Front St,Fort Wayne,IN,46864,07:00-15:30,N
NIC-CUST0006-S1,NIC-CUST0006,Prairie Poultry Co. - Plant 7,1808 River Rd,Peoria,IL,61662,07:00-15:30,N
NIC-CUST0007-S1,NIC-CUST0007,Allegheny Foods Co. - Plant 5,4558 River Rd,Peoria,IL,61643,07:00-15:30,Y
NIC-CUST0007-S2,NIC-CUST0007,Allegheny Foods Co. - Warehouse 11,4440 Commerce Blvd,Milwaukee,WI,53248,07:00-15:30,N
NIC-CUST0008-S1,NIC-CUST0008,Riverbend Conveyor LP - Plant 7,6827 Washington St,Rockford,IL,61186,07:00-15:30,N
NIC-CUST0009-S1,NIC-CUST0009,Great Lakes Automotive LLC - Plant 4,3729 River Rd,Rockford,IL,61140,07:00-15:30,N
NIC-CUST0009-S2,NIC-CUST0009,Great Lakes Automotive LLC - Warehouse 8,1944 Elm St,Rockford,IL,61131,07:00-15:30,N
NIC-CUST0010-S1,NIC-CUST0010,Pioneer Lumber Co. - Plant 1,1193 Elm St,Milwaukee,WI,53279,07:00-15:30,Y
NIC-CUST0011-S1,NIC-CUST0011,Cumberland Materials LP - Plant 12,8800 Front St,Peoria,IL,61636,07:00-15:30,Y
NIC-CUST0012-S1,NIC-CUST0012,Riverbend Poultry LLC - Plant 12,9454 Union St,Fort Wayne,IN,46817,07:00-15:30,Y
NIC-CUST0012-S2,NIC-CUST0012,Riverbend Poultry LLC - Warehouse 8,4185 Technology Way,Peoria,IL,61677,07:00-15:30,N
NIC-CUST0013-S1,NIC-CUST0013,Fox River Lumber LP - Plant 6,630 Main St,Milwaukee,WI,53295,07:00-15:30,N
NIC-CUST0014-S1,NIC-CUST0014,Prairie Climate LLC - Plant 7,3590 Park Pl,Fort Wayne,IN,46847,07:00-15:30,N
NIC-CUST0015-S1,NIC-CUST0015,Iron City Conveyor Inc. - Plant 6,528 Airport Rd,Peoria,IL,61630,07:00-15:30,N
NIC-CUST0016-S1,NIC-CUST0016,Tennessee Valley Materials Inc. - Plant 9,6943 Union St,Fort Wayne,IN,46899,07:00-15:30,N
NIC-CUST0017-S1,NIC-CUST0017,Prairie Materials Co. - Plant 9,621 River Rd,Peoria,IL,61666,07:00-15:30,Y
NIC-CUST0017-S2,NIC-CUST0017,Prairie Materials Co. - Warehouse 11,7888 Maple Dr,Milwaukee,WI,53223,07:00-15:30,Y
NIC-CUST0018-S1,NIC-CUST0018,Summit Foods Co. - Plant 12,4489 Enterprise Ct,Peoria,IL,61645,07:00-15:30,N
NIC-CUST0018-S2,NIC-CUST0018,Summit Foods Co. - Warehouse 9,1795 Washington St,Milwaukee,WI,53255,07:00-15:30,N
NIC-CUST0019-S1,NIC-CUST0019,Susquehanna Water Authority LLC - Plant 2,3880 Mill St,Rockford,IL,61160,07:00-15:30,Y
NIC-CUST0019-S2,NIC-CUST0019,Susquehanna Water Authority LLC - Warehouse 5,875 Oak Ave,Rockford,IL,61158,07:00-15:30,Y
NIC-CUST0020-S1,NIC-CUST0020,Blue Ridge Poultry Inc. - Plant 11,7826 Maple Dr,Peoria,IL,61659,07:00-15:30,N
