item_id,description,item_class,manufacturer,manufacturer_part_number,stock_uom,pack_qty,purchase_uom,primary_supplier,unit_cost,list_price,abc_class,reorder_point,reorder_qty,lead_time_days,make_or_buy,weight_lb,hts_code,country_of_origin,status,item_revision
P-10000,"Deep groove ball bearing 25x52x15, sealed",COMP,SKF,6205-2RS1,EA,1,EA,Motion Industries,4.1,6.07,C,100,191,14,Buy,8.95,,IN,Active,
P-10007,"Deep groove ball bearing 40x90x23, shielded",COMP,SKF,6308-2Z,EA,1,EA,Motion Industries,11.8,15.1,B,13,328,17,Buy,2.6,,DE,Active,
P-10014,Tapered roller bearing set,COMP,Timken,LM11949/LM11910,EA,1,EA,Motion Industries,8.95,11.81,A,80,216,8,Buy,9.25,,US,Active,
P-10021,Hi-Power II V-belt B62,COMP,Gates,B62,EA,1,EA,Motion Industries,14.2,23.0,A,48,119,21,Buy,7.75,,CN,Active,
P-10028,Torque-Arm II shaft-mount reducer 15:1,COMP,Dodge,TXT315,EA,1,EA,Motion Industries,1265.0,2036.65,C,74,203,20,Buy,11.1,,CN,Active,
P-10035,"Threadlocker 243 medium strength blue, 50 mL",MRO,Henkel Loctite,243,EA,1,EA,"W.W. Grainger, Inc.",21.4,33.38,C,107,193,10,Buy,7.45,,MX,Active,
P-10042,"Scotch-Brite hand pad 6x9 maroon, 20/bx",MRO,3M,7447,BX,20,BX,MSC Industrial Supply,28.5,39.9,A,48,84,3,Buy,7.25,,IN,Active,
P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",MRO,Kimberly-Clark,G10,BX,100,BX,Cintas Corporation,9.85,13.59,B,23,168,3,Buy,7.0,,MX,Active,
P-10056,Machine stretch wrap 18in x 1500ft 80ga,PKG,Sigma Stretch Film,SF18-80,RL,1,RL,Uline,24.6,38.13,B,92,313,13,Buy,11.4,,US,Active,
P-10063,"Corrugated box 12x12x12, 25/bd",PKG,Uline,S-4123,BD,25,BD,Uline,31.0,46.81,C,26,243,14,Buy,7.15,,MX,Active,
P-10070,SecureFit 400 safety glasses clear anti-fog,MRO,3M,SF401AF,EA,1,EA,Cintas Corporation,3.15,4.91,C,45,165,18,Buy,11.65,,DE,Active,
P-10077,WD-40 Multi-Use 1 gal,MRO,WD-40 Company,49012,GA,1,GA,"W.W. Grainger, Inc.",27.8,42.81,A,22,281,12,Buy,11.8,,US,Active,
P-10084,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",COMP,Brighton-Best,HHCS-0500-13-200-G8,BX,50,BX,Apex Fastener Corp,38.4,56.45,A,72,400,6,Buy,3.6,,US,Active,
P-10091,"Hex nut 1/2-13 Gr 8 yellow zinc, 100/bx",COMP,Brighton-Best,HN-0500-13-G8,BX,100,BX,Apex Fastener Corp,19.2,29.57,B,31,139,3,Buy,10.5,,MX,Active,
P-10098,A36 hot-rolled steel plate 1/2in,RAW,Ryerson,A36-PL-0.500,LB,1,LB,Ryerson,0.68,1.07,B,94,292,8,Buy,11.0,,US,Active,
P-10105,1045 cold-finished round bar 2.000in,RAW,Ryerson,1045-RB-2.000,LB,1,LB,Ryerson,0.94,1.35,C,16,80,8,Buy,10.35,,US,Active,
P-20000,Coupling Hub - Raw Casting size 8,COMP,Applied Industrial Technologies,A16640,EA,1,EA,Applied Industrial Technologies,55.43,95.89,B,55,42,45,Buy,76.65,8482.10.5068,TW,Active,
P-20001,Oil Seal #50,COMP,McMaster-Carr,M10153,EA,1,EA,Baldor-Reliance (ABB),9.55,15.57,A,5,198,27,Buy,86.15,8483.60.8000,DE,Active,
A-20002,Gearbox Sub-Assembly 3/8-16,FG,Northfield,,EA,1,EA,,1931.15,2568.43,C,16,66,21,Make,46.55,8483.30.8090,US,Active,C
A-20003,Gearbox Sub-Assembly 2.000,FG,Northfield,,EA,1,EA,,2450.66,3357.4,C,24,174,22,Make,76.7,8483.30.8090,US,Active,C
A-20004,Machined Housing 1/4-20,FG,Northfield,,EA,1,EA,,796.34,1083.02,B,60,72,16,Make,23.6,,US,Obsolete,A
P-20005,Carbide Insert 1/2-13,MRO,Apex Fastener Corp,B10415,EA,1,EA,Fastenal,9.43,14.62,C,58,74,33,Buy,81.0,7318.15.2095,MX,Active,
P-20006,Set Screw 5/8-11,COMP,Uline,T65806,EA,1,EA,Haas Automation,0.2,0.29,A,28,112,7,Buy,42.3,8483.30.8090,MX,Active,
P-20007,Elastomer Insert 3/4-10,COMP,Garlock Sealing Technologies,S63049,EA,1,EA,Apex Fastener Corp,25.82,39.76,B,31,156,26,Buy,6.95,8483.30.8090,US,Active,
P-20008,Retaining Ring 1/4-20,COMP,Motion Industries,P60546,EA,1,EA,Apex Fastener Corp,1.71,3.23,C,15,28,10,Buy,38.8,8483.40.5010,IT,Active,
P-20009,Retaining Ring M6,COMP,Ryerson,B15209,EA,1,EA,Motion Industries,0.88,1.64,A,15,127,22,Buy,48.2,8483.30.8090,MX,Active,
A-20010,Machined Housing #50,FG,Northfield,,EA,1,EA,,383.63,517.9,B,55,93,17,Make,41.45,8483.30.8090,US,Obsolete,A
P-20011,Elastomer Insert 2.000,COMP,Fastenal,C10198,EA,1,EA,Motion Industries,5.14,7.14,A,7,128,43,Buy,62.35,8483.30.8090,DE,Active,
P-20012,Elastomer Insert #60,COMP,Ryerson,N70540,EA,1,EA,Apex Fastener Corp,29.94,44.91,B,17,57,39,Buy,33.45,8483.30.8090,US,Active,
A-20013,Shaft Coupling 5/8-11,FG,Northfield,,EA,1,EA,,162.20000000000002,230.32,C,46,47,27,Make,19.65,8482.10.5068,US,Active,A
P-20014,Carbide Insert 1/4-20,MRO,Alro Steel,L11014,EA,1,EA,Haas Automation,20.71,37.28,C,32,52,33,Buy,4.6,8483.30.8090,US,Active,
P-20015,Oil Seal #60,COMP,Haas Automation,C35385,EA,1,EA,Baldor-Reliance (ABB),5.42,7.48,B,34,97,38,Buy,76.5,8483.40.5010,DE,Active,
P-20016,Oil Seal #80,COMP,Fastenal,A3084,EA,1,EA,Brighton-Best International,12.39,17.97,A,43,75,30,Buy,88.1,,US,Obsolete,
P-20017,Coupling Hub - Raw Casting size 4,COMP,Motion Industries,H34119,EA,1,EA,Brighton-Best International,84.28,147.49,B,55,11,27,Buy,24.45,8483.60.8000,CN,Active,
P-20018,Elastomer Insert 1/2-13,COMP,Garlock Sealing Technologies,L97235,EA,1,EA,Garlock Sealing Technologies,25.87,37.51,B,33,27,18,Buy,43.6,,MX,Active,
P-20019,Oil Seal 2.000,COMP,Garlock Sealing Technologies,H13435,EA,1,EA,Haas Automation,12.65,18.72,A,41,163,45,Buy,77.95,8483.40.5010,MX,Active,
A-20020,Shaft Coupling 5/8-11,FG,Northfield,,EA,1,EA,,316.62,588.91,B,41,135,16,Make,82.95,,US,Active,B
P-20021,Carbide Insert 1.000,MRO,Brighton-Best International,L17781,EA,1,EA,Alro Steel,23.78,32.82,B,33,57,43,Buy,37.25,8482.10.5068,US,Active,
A-20022,Machined Housing 1.500,FG,Northfield,,EA,1,EA,,155.41,225.34,B,24,191,12,Make,84.55,8483.40.5010,US,Active,B
P-20023,Elastomer Insert size 6,COMP,Brighton-Best International,K24049,EA,1,EA,Apex Fastener Corp,28.060000000000002,50.23,C,47,184,23,Buy,57.1,8483.60.8000,TW,Active,
P-20024,Set Screw 5/8-11,COMP,Baldor-Reliance (ABB),R53248,EA,1,EA,Uline,0.38,0.68,C,18,103,37,Buy,70.65,8482.10.5068,DE,Active,
A-20025,Machined Housing 3/8-16,FG,Northfield,,EA,1,EA,,703.54,1217.12,C,16,194,10,Make,80.75,8483.60.8000,US,Obsolete,C
P-20026,Set Screw #50,COMP,Brighton-Best International,F67122,EA,1,EA,Brighton-Best International,0.63,1.07,B,5,79,23,Buy,70.25,8483.40.5010,MX,Active,
P-20027,Oil Seal size 8,COMP,Apex Fastener Corp,H34271,EA,1,EA,Fastenal,8.42,14.15,B,27,32,15,Buy,77.05,8483.40.5010,TW,Active,
