Client Id,Client Name,Dba Name,Fein,Naics Code,Industry,Annual Revenue,Employee Count,Billing Street,Billing City,Billing State,Billing Zip,Producer Id,Producer Name,Account Manager Id,Account Manager Name,Client Since,Status,Lines Of Business,Source
HAR-C0001,Liberty Manufacturing LP,,50-8167890,326199,Manufacturing - Plastics,6200000,34,5033 Main St,Orlando,FL,32816,E001,Betty Rodriguez,E009,Matthew Jones,2020-12-31,Active,"PROP,GL,WC",Web
HAR-C0002,Liberty Electric Co.,,65-7730083,238210,Contractors - Electrical,22000000,150,1950 Main St,Orlando,FL,32862,E004,Priya Martinez,E012,Patricia Thomas ,2020-08-16,Active,"GL,WC,AUTO,UMB",Walk-in
HAR-C0003,Blue Ridge Electric LP,,62-1662330,238220,Contractors - HVAC/Plumbing,25600000,137,6176 Lincoln Ave,Jacksonville,FL,32227,E001,Betty Rodriguez,E011,Sandra White,2009-01-18,Active,"GL,WC,AUTO,UMB",Cold Outreach
HAR-C0004,Riverside Associates Inc.,,78-3056932,541330,Professional Services - Engineering ,44500000,253,8161 Market St,Orlando,FL,32886,E001,Betty Rodriguez,E007,Ashley Wilson,2022-09-01,Active ,"PL,GL,CYB,WC",Walk-in
HAR-C0005,Keystone State Hardware LLC,,34-2341946,444130,Retail - Hardware Store,26600000,192,4731 Maple Dr,Tampa,FL,33618,E002,Nancy Scott,E008,Jessica Schneider,2014-05-09,Active,"BOP,WC",Walk-in
HAR-C0006,"Allied Freight Systems, Inc.",,46-3318824,484121,Trucking - General Freight,41000000,210,4400 Commerce Blvd,Harrisburg,PA,17110,E004,Priya Martinez,E012,Patricia Thomas,2019-03-19,Active,"PROP,GL",Walk-in
HAR-C0007,Keystone State Marine Co.,,98-3342383,336612,Marine - Boat Repair & Fabrication,12900000,89,8043 Park Pl,Jacksonville,FL,32246,E002,Nancy Scott,E011,Sandra White,2024-04-23,Active,"GL,PROP,WC,AUTO",Cold Outreach
HAR-C0008,Coastal Supply LP,,12-6812147,423840,Wholesale - Industrial Supplies,54100000,289,6097 Airport Rd,Orlando,FL,32884,E004,Priya Martinez,E009,Matthew Jones,2022-05-21,Active,"PROP,GL,AUTO,WC",Walk-in
HAR-C0009,Ironclad Medical Group Co.,,14-3019743,621498,Healthcare - Outpatient Clinic,70100000,569,7561 Market St,Jacksonville,FL,32296,E005,Priya Garcia,E010,Nancy Fitzgerald,2023-06-13,Active,"PL,GL,PROP,CYB,WC",Association
HAR-C0010,Summit Software Co.,,10-4721540,541511,Technology - Software,89700000,646,1532 Lincoln Ave,Orlando,FL,32819,E003,Matthew Choi,E006,Elena Jackson,2009-06-17,Active,"CYB,PL,GL,DO",Walk-in
