bol_number,shipment_id,carrier,ship_date,shipper,consignee,nmfc_class,pallets,weight_lb,freight_terms,hazmat,signed
BOL-SH-50001,SH-50001,FedEx Ground,2025-09-03,"Northfield Industrial Components, Inc.",Fox River Lumber LP - Plant 6,55,2,1180.7,Prepaid,N,Y
BOL-SH-50003,SH-50003,Company Truck,2025-08-20,"Northfield Industrial Components, Inc.",Iron City Chemical Inc. - Plant 9,50,1,239.2,Prepaid,N,Y
BOL-SH-50004,SH-50004,Company Truck,2025-08-28,"Northfield Industrial Components, Inc.",Cumberland Materials LP - Plant 12,85,1,327.2,Prepaid & Add,N,Y
BOL-SH-50005,SH-50005,Customer Pickup,2025-06-03,"Northfield Industrial Components, Inc.",Cardinal Poultry Inc. - Plant 1,70,1,204.0,Prepaid & Add,N,Y
BOL-SH-50006,SH-50006,UPS Ground,2025-12-21,"Northfield Industrial Components, Inc.",Pioneer Lumber Co. - Plant 1,55,1,622.2,Prepaid & Add,N,Y
BOL-SH-50007,SH-50007,UPS Ground,2025-10-18,"Northfield Industrial Components, Inc.",Iron City Conveyor Inc. - Plant 6,85,1,533.4,Prepaid,N,Y
BOL-SH-50008,SH-50008,LTL - XPO,2025-10-05,"Northfield Industrial Components, Inc.",Midwest Climate Corp. - Plant 12,85,1,426.8,Prepaid & Add,N,Y
BOL-SH-50009,SH-50009,Company Truck,2025-12-30,"Northfield Industrial Components, Inc.",Summit Conveyor LLC - Plant 4,70,1,396.8,Collect,N,Y
BOL-SH-50010,SH-50010,LTL - Estes,2025-08-08,"Northfield Industrial Components, Inc.",Great Lakes Automotive LLC - Plant 4,85,1,798.6,Prepaid,N,Y
BOL-SH-50011,SH-50011,FedEx Ground,2025-07-23,"Northfield Industrial Components, Inc.",Cardinal Conveyor Corp. - Plant 3,60,1,562.5,Prepaid & Add,N,Y
BOL-SH-50012,SH-50012,LTL - XPO,2025-09-22,"Northfield Industrial Components, Inc.",Pioneer Paper Co. - Plant 11,70,1,173.3,Prepaid,N,Y
BOL-SH-50015,SH-50015,Company Truck,2025-06-24,"Northfield Industrial Components, Inc.",Summit Conveyor LLC - Plant 4,50,1,343.0,Collect,N,Y
BOL-SH-50016,SH-50016,UPS Ground,2025-12-30,"Northfield Industrial Components, Inc.",Prairie Materials Co. - Plant 9,85,1,467.4,Prepaid & Add,N,Y
BOL-SH-50017,SH-50017,UPS Ground,2025-08-29,"Northfield Industrial Components, Inc.",Prairie Poultry Co. - Plant 7,55,2,999.8,Collect,N,Y
BOL-SH-50020,SH-50020,UPS Ground,2025-10-17,"Northfield Industrial Components, Inc.",Iron City Conveyor Inc. - Plant 6,55,1,494.9,Prepaid & Add,N,Y
BOL-SH-50021,SH-50021,LTL - Estes,2025-11-24,"Northfield Industrial Components, Inc.",Lehigh Valley Paper LP - Plant 7,85,1,448.5,Prepaid & Add,N,Y
BOL-SH-50022,SH-50022,FedEx Ground,2025-07-31,"Northfield Industrial Components, Inc.",Allegheny Paper LP - Plant 5,50,2,975.5,Prepaid & Add,N,Y
BOL-SH-50023,SH-50023,LTL - Estes,2025-06-19,"Northfield Industrial Components, Inc.",Lehigh Valley Paper LP - Plant 7,55,1,530.7,Collect,N,Y
BOL-SH-50024,SH-50024,Company Truck,2026-01-29,"Northfield Industrial Components, Inc.",Iron City Chemical Inc. - Plant 9,70,1,769.8,Prepaid,N,Y
BOL-SH-50025,SH-50025,Company Truck,2026-02-09,"Northfield Industrial Components, Inc.",Cumberland Materials LP - Plant 12,60,1,409.1,Prepaid,N,Y
BOL-SH-50026,SH-50026,Customer Pickup,2026-03-25,"Northfield Industrial Components, Inc.",Fox River Paper LP - Plant 7,70,1,690.5,Collect,N,Y
BOL-SH-50027,SH-50027,UPS Ground,2026-03-26,"Northfield Industrial Components, Inc.",Riverbend Conveyor LP - Plant 7,55,1,320.8,Prepaid,N,Y
BOL-SH-50028,SH-50028,FedEx Ground,2025-12-10,"Northfield Industrial Components, Inc.",Allegheny Paper LP - Plant 5,50,1,523.7,Prepaid & Add,N,Y
BOL-SH-50029,SH-50029,Company Truck,2026-01-04,"Northfield Industrial Components, Inc.",Tri-County Poultry LP - Plant 11,50,2,828.0,Prepaid & Add,N,Y
BOL-SH-50030,SH-50030,UPS Ground,2025-09-21,"Northfield Industrial Components, Inc.",Prairie Materials Co. - Plant 9,70,1,368.5,Prepaid & Add,N,Y
BOL-SH-50032,SH-50032,LTL - Estes,2025-07-02,"Northfield Industrial Components, Inc.",Rock River Steel Inc. - Plant 8,55,2,1021.2,Collect,N,Y
BOL-SH-50033,SH-50033,LTL - XPO,2025-05-13,"Northfield Industrial Components, Inc.",Midwest Climate Corp. - Plant 12,85,1,312.7,Collect,N,Y
BOL-SH-50034,SH-50034,LTL - Estes,2026-02-06,"Northfield Industrial Components, Inc.",Great Lakes Automotive LLC - Plant 4,55,1,176.9,Collect,N,Y
BOL-SH-50035,SH-50035,LTL - XPO,2025-09-15,"Northfield Industrial Components, Inc.",Midwest Ag Equipment LP - Plant 8,50,1,751.1,Prepaid & Add,N,Y
BOL-SH-50036,SH-50036,Customer Pickup,2025-12-31,"Northfield Industrial Components, Inc.",Great Lakes Lumber LLC - Plant 2,70,1,287.2,Prepaid,N,Y
BOL-SH-50038,SH-50038,Customer Pickup,2025-12-28,"Northfield Industrial Components, Inc.",Blue Ridge Lumber LLC - Plant 11,85,1,597.7,Prepaid,N,Y
BOL-SH-50039,SH-50039,FedEx Ground,2026-01-06,"Northfield Industrial Components, Inc.",Summit Foods Co. - Plant 12,85,1,554.5,Prepaid,N,Y
BOL-SH-50040,SH-50040,Customer Pickup,2026-03-25,"Northfield Industrial Components, Inc.",Blue Ridge Poultry Inc. - Plant 11,60,1,237.1,Prepaid & Add,N,Y
BOL-SH-50041,SH-50041,UPS Ground,2025-11-09,"Northfield Industrial Components, Inc.",Prairie Poultry Co. - Plant 7,55,1,378.4,Prepaid & Add,N,Y
BOL-SH-50042,SH-50042,LTL - Estes,2026-02-20,"Northfield Industrial Components, Inc.",Susquehanna Water Authority LLC - Plant 2,85,1,501.9,Collect,N,Y
BOL-SH-50043,SH-50043,Company Truck,2025-07-01,"Northfield Industrial Components, Inc.",Tri-County Poultry LP - Plant 11,55,1,524.1,Prepaid,N,Y
BOL-SH-50044,SH-50044,Customer Pickup,2025-06-20,"Northfield Industrial Components, Inc.",Cardinal Poultry Inc. - Plant 1,60,1,697.7,Prepaid & Add,N,Y
BOL-SH-50046,SH-50046,Customer Pickup,2025-05-28,"Northfield Industrial Components, Inc.",Blue Ridge Poultry Inc. - Plant 11,60,1,384.7,Prepaid & Add,N,Y
