Item Id,Description,Item Class,Manufacturer,Manufacturer Part Number,Stock Uom,Pack Qty,Purchase Uom,Primary Supplier,Unit Cost,List Price,Abc Class,Reorder Point,Reorder Qty,Lead Time Days,Make Or Buy,Weight Lb,Hts Code,Country Of Origin,Status,Item Revision
SKF-6205-2RS1,"Deep groove ball bearing 25x52x15, sealed",RESALE,SKF,6205-2RS1,EA,1,EA,Applied Industrial Technologies,3.55,5.11,A,45,88,15,Buy,0.75,,US,Active,
SKF-6308-2Z,"Deep groove ball bearing 40x90x23, shielded",RESALE,SKF,6308-2Z,EA,1,EA,Applied Industrial Technologies,10.25,13.33,C,96,192,14,Buy,7.1,,DE,Active,
TIM-LM11949-LM11910,Tapered roller bearing set,RESALE,Timken,LM11949/LM11910,EA,1,EA,Applied Industrial Technologies,7.6,9.96,C,28,338,17,Buy,6.05,,IN,Active,
GAT-B62,Hi-Power II V-belt B62,RESALE,Gates,B62,EA,1,EA,Kaman Industrial Technologies,12.7,19.56,B,83,289,4,Buy,8.5,,DE,Active,
DOD-TXT315,Torque-Arm II shaft-mount reducer 15:1,RESALE ,Dodge,TXT315,EA,1,EA,Applied Industrial Technologies,1180.0,1640.2,B,108,215,14,Buy,9.55,,DE,Active,
HEN-243,"Threadlocker 243 medium strength blue, 50 mL",MRO,Henkel Loctite,243,EA,1,EA,GRAINGER,22.1,35.36,C,62,240,4,Buy,6.55,,US,Active,
KIM-G10,"KleenGuard G10 nitrile gloves, large, 100/bx",MRO,Kimberly-Clark,G10,EA,100,BX,GRAINGER,11.4,16.07,B,81,281,21,Buy,0.65,,MX,Active,
SIG-SF18-80 ,Machine stretch wrap 18in x 1500ft 80ga,PKG,Sigma Stretch Film,SF18-80,RL,1,RL,Uline,24.6,33.46,B,56,131,3,Buy,10.1,,US,Active,
ULI-S-4123,"Corrugated box 12x12x12, 25/bd",PKG,Uline,S-4123,BD,25,BD,Uline,31.0,48.36,B,10,170,13,Buy,8.1,,CN,Active,
3M-SF401AF,SecureFit 400 safety glasses clear anti-fog,MRO,3M,SF401AF,EA,1,EA,GRAINGER,4.05,6.03,A,50,84,17,Buy,7.95,,DE,Active,
BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",RESALE,Brighton-Best,HHCS-0500-13-200-G8,BX,50,BX,Fastenal ,44.75,63.1,C,92,79,15,Buy,6.5,,US,Active,
TIMI-1000,Timing Belt 1.500,RESALE,Alro Steel,H44428,EA,1,EA,Apex Fastener Corp,43.53,62.25,A,44,84,36,Buy,66.3,,IT,Active,
GEAR-1001,Gear Reducer 1.500,RESALE,McMaster-Carr,G49860,EA,1,EA,McMaster-Carr,974.16,1811.94,C ,11,120,11,Buy,75.0,7318.15.2095,US ,Obsolete,
SPRO-1002,Sprocket 1/4-20,RESALE,Baldor-Reliance (ABB) ,F15706,EA,1,EA,Uline,65.84,94.81,C,14,132,13,Buy,85.0,7318.15.2095 ,DE,Active,
SHEA-1003,Sheave / Pulley #50,RESALE,Motion Industries,B62693,EA,1,EA,Brighton-Best International,235.72,322.94,B,54,133,7,Buy,7.7,7318.15.2095,US,Active,
SPRO-1004,Sprocket 3/8-16,RESALE,Brighton-Best International,P89761,EA,1,EA,Garlock Sealing Technologies,42.84,56.55,C,56,177,25,Buy,7.85,,CN,Active,
SHEA-1005,Sheave / Pulley size 6,RESALE,Uline,M77668,EA,1,EA,Regal Rexnord,115.37,162.67,B ,52,135,27,Buy,83.05,,US,Obsolete,
AC-1006,AC Motor TEFC 1.250,RESALE,Fastenal,K67494,EA,1,EA,Alro Steel,2130.52,3707.1,A,45,169,25,Buy,52.0,,CN,Active,
SHEA-1007,Sheave / Pulley 2.000,RESALE,Regal Rexnord,R96896,EA,1,EA,Uline,129.94,211.8,A,28,161,10,Buy,7.2,,IT,Active,
MOUN-1008,Mounted Ball Bearing Unit #60,RESALE,Brighton-Best International,D34695,EA,1,EA,MSC Industrial Supply,71.79,122.04,C,41,52,25,Buy,53.7,,IT,Active,
SPRO-1009,Sprocket size 8,RESALE,Alro Steel,A23051,EA,1,EA,MSC Industrial Supply,24.54,42.7,B,45,172,31,Buy,85.95,,DE,Active,
GEAR-1010,Gear Reducer 1.375,RESALE,Brighton-Best International,A41776,EA,1,EA,Haas Automation,2784.15,4844.42,B,47,85,35,Buy,5.6,,DE,Active,
SPRO-1011,Sprocket #60,RESALE,Motion Industries,B43448,EA,1,EA,Fastenal,118.48,223.93,B,13,148,20,Buy,88.55,,US,Active,
ROLL-1012,Roller Chain ANSI 2.000,RESALE,Garlock Sealing Technologies,L28546,EA,1,EA,Haas Automation,47.52,62.25,C,49,182,31,Buy,83.85,7318.15.2095,DE,Active,
