run_date,item_id,action,available,on_order,reorder_point,suggested_qty,suggested_due,supplier_id,status
2026-03-31,P-10000,Buy,13,0,100,191,2026-04-14,NIC-V012,Open
2026-03-31,P-10084,Buy,66,0,72,400,2026-04-06,NIC-V002,Open
2026-03-31,P-20001,Buy,4,0,5,198,2026-04-27,NIC-V004,Open
2026-03-31,P-20017,Buy,0,0,55,11,2026-04-27,NIC-V005,Open
2026-03-31,P-20018,Buy,0,25,33,27,2026-04-18,NIC-V008,Open
2026-03-31,A-20020,Make,34,0,41,135,2026-04-16,,Open
2026-03-31,P-20029,Buy,0,0,49,22,2026-05-10,NIC-V017,Open
2026-03-31,A-20030,Make,5,0,44,75,2026-04-18,,Open
2026-03-31,A-20031,Make,17,0,38,161,2026-04-10,,Open
2026-03-31,A-20040,Make,0,0,6,30,2026-04-23,,Open
2026-03-31,A-20070,Make,0,0,2,93,2026-04-14,,Open
2026-03-31,A-20077,Make,23,0,56,85,2026-04-24,,Open
2026-03-31,P-20080,Buy,12,10,25,20,2026-04-28,NIC-V003,Open
2026-03-31,A-20087,Make,1,0,23,115,2026-04-22,,Open
2026-03-31,A-20090,Make,21,0,30,33,2026-04-26,,Open
2026-03-31,A-20101,Make,23,0,44,22,2026-04-22,,Open
2026-03-31,P-20118,Buy,0,16,51,16,2026-04-06,NIC-V008,Open
2026-03-31,P-20119,Buy,10,23,54,13,2026-05-12,NIC-V005,Open
