filing_id,policy_id,state,carrier_code,premium,sl_tax_pct,sl_tax,stamping_fee,diligent_search_form,filed_date,status
SL-MER-P00007,MER-P00007,CT,MKL,23237,4.0,929.48,40.66,Y,2026-01-16,Filed
SL-MER-P00018,MER-P00018,CT,MKL,12242,4.0,489.68,21.42,N,2025-10-10,Filed
SL-MER-P00019,MER-P00019,CT,BEZ,22115,4.0,884.6,38.7,Y,2025-09-17,Pending
SL-MER-P00022,MER-P00022,CT,MKL,33794,4.0,1351.76,59.14,N,2026-04-19,Filed
SL-MER-P00036,MER-P00036,CT,BEZ,14783,4.0,591.32,25.87,N,2025-06-02,Pending
SL-MER-P00043,MER-P00043,CT,MKL,35623,4.0,1424.92,62.34,Y,2025-09-29,Filed
SL-MER-P00049,MER-P00049,CT,MKL,13925,4.0,557.0,24.37,Y,2025-12-10,Filed
SL-MER-P00055,MER-P00055,CT,MKL,5005,4.0,200.2,8.76,Y,2025-06-13,Filed
SL-MER-P00060,MER-P00060,CT,MKL,18170,4.0,726.8,31.8,Y,2026-04-16,Filed
SL-MER-P00062,MER-P00062,CT,MKL,16747,4.0,669.88,29.31,N,2025-09-24,Pending
SL-MER-P00073,MER-P00073,CT,MKL,17575,4.0,703.0,30.76,N,2025-12-31,Filed
SL-MER-P00084,MER-P00084,CT,MKL,24785,4.0,991.4,43.37,Y,2026-05-02,Filed
SL-MER-P00098,MER-P00098,CT,BEZ,6878,4.0,275.12,12.04,Y,2025-06-07,Filed
SL-MER-P00099,MER-P00099,CT,BEZ,11209,4.0,448.36,19.62,Y,2025-05-21,Filed
SL-MER-P00102,MER-P00102,CT,BEZ,27837,4.0,1113.48,48.71,Y,2026-01-09,Pending
SL-MER-P00106,MER-P00106,CT,MKL,37114,4.0,1484.56,64.95,Y,2025-12-22,Filed
SL-MER-P00107,MER-P00107,CT,BEZ,10609,4.0,424.36,18.57,Y,2026-01-10,Filed
SL-MER-P00114,MER-P00114,CT,MKL,24041,4.0,961.64,42.07,Y,2025-06-11,Filed
