item_id,warehouse,planning_method,reorder_point,reorder_qty,safety_stock,lead_time_days,abc_class,last_reviewed
P-10000,MAIN,ROP,100,191,33,14,C,2025-11-23
P-10007,MAIN,Min/Max,13,328,4,17,B,2025-11-06
P-10014,MAIN,Min/Max,80,216,26,8,A,2025-02-07
P-10021,MAIN,MRP,48,119,16,21,A,2024-11-30
P-10028,MAIN,Min/Max,74,203,24,20,C,2025-11-25
P-10035,MAIN,Min/Max,107,193,35,10,C,2025-07-10
P-10042,MAIN,MRP,48,84,16,3,A,2026-03-30
P-10049,MAIN,Min/Max,23,168,7,3,B,2025-03-01
P-10056,MAIN,MRP,92,313,30,13,B,2024-09-04
P-10063,MAIN,MRP,26,243,8,14,C,2025-06-12
P-10070,MAIN,MRP,45,165,15,18,C,2025-08-09
P-10077,MAIN,ROP,22,281,7,12,A,2025-08-20
P-10084,MAIN,MRP,72,400,24,6,A,2025-04-21
P-10091,MAIN,Min/Max,31,139,10,3,B,2025-10-15
P-10098,MAIN,ROP,94,292,31,8,B,2026-01-12
P-10105,MAIN,Min/Max,16,80,5,8,C,2026-01-22
P-20000,MAIN,MRP,55,42,18,45,B,2025-09-12
P-20001,MAIN,ROP,5,198,1,27,A,2026-02-06
P-20005,MAIN,MRP,58,74,19,33,C,2024-07-26
P-20006,MAIN,Min/Max,28,112,9,7,A,2024-06-20
P-20007,MAIN,Min/Max,31,156,10,26,B,2024-10-22
P-20008,MAIN,ROP,15,28,5,10,C,2024-08-24
P-20009,MAIN,ROP,15,127,5,22,A,2025-01-18
P-20011,MAIN,Min/Max,7,128,2,43,A,2024-06-21
P-20012,MAIN,ROP,17,57,5,39,B,2024-12-30
P-20014,MAIN,Min/Max,32,52,10,33,C,2025-08-06
P-20015,MAIN,ROP,34,97,11,38,B,2024-11-23
P-20017,MAIN,ROP,55,11,18,27,B,2025-04-25
P-20018,MAIN,ROP,33,27,11,18,B,2025-11-29
P-20019,MAIN,Min/Max,41,163,13,45,A,2024-07-02
P-20021,MAIN,Min/Max,33,57,11,43,B,2025-02-02
P-20023,MAIN,MRP,47,184,15,23,C,2025-12-17
P-20024,MAIN,Min/Max,18,103,6,37,C,2024-09-19
P-20026,MAIN,ROP,5,79,1,23,B,2026-02-06
P-20027,MAIN,MRP,27,32,9,15,B,2024-12-07
P-20028,MAIN,MRP,6,26,2,17,C,2025-10-04
P-20029,MAIN,ROP,49,22,16,40,C,2025-11-25
P-20032,MAIN,MRP,46,189,15,10,B,2025-01-29
P-20035,MAIN,Min/Max,12,79,4,36,C,2025-05-26
P-20037,MAIN,MRP,56,189,18,11,C,2025-12-23
P-20041,MAIN,ROP,14,11,4,30,A,2025-09-18
