Certificate Request Id,Client Id,Gl Policy Id,Certificate Holder,Requested Date,Requested By,Project Description,Required Gl Each Occurrence,Required Umbrella Limit,Additional Insured Required,Waiver Of Subrogation Required,Primary Noncontributory Required,Status,Issued Date,Handled By,Turnaround Hours,Exception Note
HAR-CERT0001,HAR-C0016,HAR-P00049,Gilbane Building Company,2026-01-18,Client portal,Ongoing operations,2000000,1000000,N,Y,Y,Issued,2026-01-20,E007,8,
HAR-CERT0002,HAR-C0012,HAR-P00037,City of Tampa,"Mar 01, 2026",Client email,Service contract 2026,2000000,2000000,Y,N,N,Exception - limits not supported,,E010,5,"Holder requires $2,000,000 umbrella; account carries $0."
HAR-CERT0003,HAR-C0018,HAR-P00057,Brookfield Properties,2025-12-05,Client portal,Ongoing operations,1000000,2000000,N,N,N,Exception - limits not supported,,E009,22,"Holder requires $2,000,000 umbrella; account carries $0."
HAR-CERT0004,HAR-C0027,HAR-P00090,Amazon.com Services LLC,2025-10-25,Client email,Tenant improvement - Suite 200,1000000,0,Y,N,N,Issued,2025-10-27,E011,5,
HAR-CERT0005,HAR-C0024,HAR-P00079,City of Tampa,2026-01-17,Client email,Tenant improvement - Suite 200,2000000,1000000,Y,Y,Y,Issued,2026-01-19,E008,39,
HAR-CERT0006,HAR-C0020,HAR-P00064,Skanska USA Building,2026-02-28,Client email,Site work - Phase 2,1000000,2000000,Y,N,Y,Exception - limits not supported,,E012,50,"Holder requires $2,000,000 umbrella; account carries $0."
HAR-CERT0007,HAR-C0009,HAR-P00027,Kiewit Corporation,2026-02-21,Phone,Tenant improvement - Suite 200,1000000,0,Y,Y,Y,Issued,2026-02-23,E010,33,
HAR-CERT0008,HAR-C0007,HAR-P00018,Whiting-Turner Contracting,01/10/26,Phone,Bid requirement,1000000,1000000,N,N,Y,Exception - limits not supported,,E011,8,"Holder requires $1,000,000 umbrella; account carries $0."
HAR-CERT0009,HAR-C0016,HAR-P00049,Amazon.com Services LLC,2026-01-21,Phone,Annual vendor compliance,2000000,2000000,N,N,N,Issued,2026-01-23,E007,71,
HAR-CERT0010,HAR-C0009,HAR-P00027,"Home Depot U.S.A., Inc.",2025-12-19,Holder direct,Service contract 2026,1000000,0,Y,N,Y,Issued,2025-12-19,E010,40,
HAR-CERT0011,HAR-C0012,HAR-P00037,Walmart Inc.,2026-01-25,Client email,Service contract 2026,2000000,2000000,N,N,Y,Exception - limits not supported,,E010,31,"Holder requires $2,000,000 umbrella; account carries $0."
HAR-CERT0012,HAR-C0007,HAR-P00018,Kiewit Corporation,2026-02-24,Holder direct,Site work - Phase 2,2000000,0,Y,N,Y,Issued,2026-02-24,E011,27,
HAR-CERT0013,HAR-C0012,HAR-P00037,Skanska USA Building,2025-11-01,Holder direct,Service contract 2026,1000000,0,N,Y,Y,Issued,2025-11-03,E010,61,
HAR-CERT0014,HAR-C0023,HAR-P00076,JLL Property Management,2025-11-20,Holder direct,Site work - Phase 2,1000000,2000000,Y,N,N,Exception - limits not supported,,E009,42,"Holder requires $2,000,000 umbrella; account carries $0."
HAR-CERT0015,HAR-C0002,HAR-P00003,Amazon.com Services LLC,2025-11-18,Phone,Tenant improvement - Suite 200,2000000,0,Y,Y,Y,Issued,2025-11-18,E012,8,
HAR-CERT0016,HAR-C0027,HAR-P00090,Suffolk Construction,2026-01-27,Holder direct,Ongoing operations,2000000,1000000,Y,N,Y,Exception - limits not supported,,E011,11,"Holder requires $1,000,000 umbrella; account carries $0."
HAR-CERT0017,HAR-C0027,HAR-P00090,Whiting-Turner Contracting,2025-11-27,Client portal,Bid requirement,2000000,1000000,N,N,Y,Exception - limits not supported,,E011,9,"Holder requires $1,000,000 umbrella; account carries $0."
