Filing Id,Policy Id,State,Carrier Code,Premium,Sl Tax Pct,Sl Tax,Stamping Fee,Diligent Search Form,Filed Date,Status
SL-HAR-P00009,HAR-P00009,FL,MKL,16495,4.0,659.8,28.87,Y,2025-11-16,Filed
SL-HAR-P00031,HAR-P00031,FL,MKL,5088,4.0,203.52,8.9,Y,2025-06-21,Pending
SL-HAR-P00038,HAR-P00038,FL,MKL,22025,4.0,881.0,38.54,Y,2025-10-20,Filed
SL-HAR-P00048,HAR-P00048,FL,MKL,26973,4.0,1078.92,47.2,Y,2025-07-11,Filed
SL-HAR-P00055,HAR-P00055,FL,MKL,6784,4.0,271.36,11.87,Y,2026-01-12,Filed
SL-HAR-P00060,HAR-P00060,FL,MKL,31605,4.0,1264.2,55.31,N,2026-01-30,Filed
SL-HAR-P00063,HAR-P00063,FL,MKL,35874,4.0,1434.96,62.78,Y,2026-05-09,Filed
SL-HAR-P00077,HAR-P00077,FL,MKL,20661,4.0,826.44,36.16,Y,2025-11-16,Filed
SL-HAR-P00082,HAR-P00082,FL,MKL,14426,4.0,577.04,25.25,Y,2026-03-30,Filed
SL-HAR-P00089,HAR-P00089,FL,MKL,32033,4.0,1281.32,56.06,Y,2025-12-24,Pending
SL-HAR-P00099,HAR-P00099,FL,MKL,24790,4.0,991.6,43.38,Y,2025-12-21,Filed
