asset_id,pm_task,interval_days,last_done,next_due,assigned_to
A-001,Filter change,180,2026-02-24,2026-03-09,E087
A-002,Filter change,90,2026-01-26,2026-04-23,E086
A-003,Chain/belt inspection,180,2025-07-31,2026-03-11,E084
A-004,Lubricate & inspect,365,2026-03-28,2026-05-17,E084
A-005,Safety inspection,90,2025-07-13,2026-06-20,E087
A-006,Safety inspection,30,2026-02-03,2026-07-04,E086
A-007,Chain/belt inspection,365,2025-06-19,2026-03-23,E085
A-008,Annual load test,180,2026-03-06,2026-04-27,E087
A-009,Hydraulic fluid check,30,2025-09-07,2026-03-20,E086
A-010,Annual load test,90,2026-02-27,2026-03-01,E087
A-011,Hydraulic fluid check,365,2025-07-25,2026-03-14,E085
A-012,Safety inspection,30,2025-06-08,2026-07-26,E087
A-013,Annual load test,365,2025-08-17,2026-05-10,E086
A-014,Annual load test,180,2026-02-08,2026-03-10,E086
A-015,Lubricate & inspect,180,2026-03-21,2026-04-05,E087
