Vendor,Item,Description,Qty,UOM,Price,Date,Ext Price
Ferguson Enterprises,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",1,case,10.10,10/18/25,10.10
Johnstone Supply Boston,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",8,each,96.00,2/27/26,768.00
Johnson Control Services LLC,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,20,each,13.20,4/6/26,264.00
W.W. Grainger,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",3,cylinder,158.00,4/24/26,474.00
Ferguson Enterprises,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,19,each,13.20,1/12/26,250.80
Johnstone Supply Boston,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",9,each,118.00,11/14/25,1062.00
Johnson Control Services LLC,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",23,each,118.00,3/9/26,2714.00
W.W. Grainger,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,7,each,13.20,10/12/25,92.40
Ferguson Enterprises,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",11,each,96.00,4/28/26,1056.00
Johnstone Supply Boston,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",4,cylinder,158.00,11/19/25,632.00
Johnson Control Services LLC,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,10,each,13.20,7/1/26,132.00
W.W. Grainger,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,20,each,24.60,1/6/26,492.00
Ferguson Enterprises,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,12,each,24.60,4/11/26,295.20
Johnstone Supply Boston,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,20,each,24.60,6/8/26,492.00
Johnson Control Services LLC,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,19,each,149.00,6/21/26,2831.00
W.W. Grainger,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",14,each,118.00,3/10/26,1652.00
Ferguson Enterprises,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,5,each,24.60,6/3/26,123.00
Johnstone Supply Boston,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",18,each,118.00,7/15/26,2124.00
Johnson Control Services LLC,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",4,cylinder,158.00,7/18/26,632.00
W.W. Grainger,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",7,cylinder,158.00,10/16/25,1106.00
Ferguson Enterprises,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",18,each,96.00,2/19/26,1728.00
Johnstone Supply Boston,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,7,each,13.20,11/28/25,92.40
Johnson Control Services LLC,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,11,each,24.60,7/2/26,270.60
W.W. Grainger,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",8,each,96.00,11/28/25,768.00
Ferguson Enterprises,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,15,each,149.00,7/1/26,2235.00
Johnstone Supply Boston,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",2,cylinder,158.00,1/5/26,316.00
Johnson Control Services LLC,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,8,each,24.60,12/24/25,196.80
W.W. Grainger,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,5,each,13.20,4/8/26,66.00
Ferguson Enterprises,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",21,each,118.00,8/4/26,2478.00
Johnstone Supply Boston,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,16,each,13.20,7/5/26,211.20
Johnson Control Services LLC,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,2,each,13.20,2/1/26,26.40
W.W. Grainger,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",3,cylinder,158.00,8/3/26,474.00
Ferguson Enterprises,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,17,each,24.60,1/21/26,418.20
Johnstone Supply Boston,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",2,cylinder,158.00,7/28/26,316.00
Johnson Control Services LLC,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",24,each,96.00,12/24/25,2304.00
W.W. Grainger,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",7,cylinder,158.00,8/3/26,1106.00
Ferguson Enterprises,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,17,each,13.20,12/28/25,224.40
Johnstone Supply Boston,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",2,cylinder,158.00,3/24/26,316.00
Johnson Control Services LLC,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",17,each,96.00,4/22/26,1632.00
W.W. Grainger,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,17,each,24.60,8/2/26,418.20
Ferguson Enterprises,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,19,each,24.60,11/26/25,467.40
Johnstone Supply Boston,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",10,each,96.00,6/30/26,960.00
Johnson Control Services LLC,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,7,each,13.20,6/8/26,92.40
W.W. Grainger,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",13,each,118.00,11/23/25,1534.00
Ferguson Enterprises,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",14,each,118.00,7/11/26,1652.00
Johnstone Supply Boston,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",20,each,118.00,3/21/26,2360.00
Johnson Control Services LLC,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",5,case,10.10,11/15/25,50.50
W.W. Grainger,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",4,case,10.10,8/4/26,40.40
Ferguson Enterprises,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,19,each,24.60,8/12/26,467.40
Johnstone Supply Boston,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,18,each,149.00,11/1/25,2682.00
