rma_number,customer_id,invoice_number,item_id,qty,request_date,reason_code,disposition,credit_memo,credit_amount,received_date,status,approved_by
RMA-0001,NIC-CUST0018,INV-60307,A-20003,1,2025-09-27,Wrong part shipped,Return to vendor,CM-7352,2585.2,2025-10-04,Closed,E074
RMA-0002,NIC-CUST0011,INV-60304,A-20107,1,2025-08-28,Damaged in transit,Return to vendor,,3043.06,2025-08-31,Awaiting return,E065
RMA-0003,NIC-CUST0035,INV-60205,A-20070,1,2026-03-25,No longer needed,Repair,CM-7842,2964.98,2026-04-02,Closed,E075
RMA-0004,NIC-CUST0019,INV-60290,A-20087,2,2026-01-13,Defective,Restock w/ 15% fee,CM-7246,1015.96,2026-01-25,Awaiting return,E068
RMA-0005,NIC-CUST0025,INV-60081,A-20092,2,2025-07-02,Wrong part shipped,Restock w/ 15% fee,,4655.34,,Closed,E064
RMA-0006,NIC-CUST0040,INV-60188,A-20107,1,2025-07-10,Overshipment,Return to vendor,CM-7193,3043.06,2025-07-15,Awaiting return,E065
RMA-0007,NIC-CUST0004,INV-60053,A-20097,1,2025-06-22,No longer needed,Restock w/ 15% fee,CM-7578,750.8,2025-06-30,Awaiting return,E068
RMA-0008,NIC-CUST0031,INV-60008,A-20033,1,2025-11-17,Wrong part shipped,Repair,CM-7509,964.16,2025-11-24,Awaiting return,E068
RMA-0009,NIC-CUST0005,INV-60368,A-20053,1,2025-10-28,Overshipment,Repair,CM-7601,885.56,2025-10-31,Awaiting return,E075
RMA-0010,NIC-CUST0015,INV-60020,A-20033,1,2025-11-20,Damaged in transit,Restock,CM-7264,386.52,2025-12-02,Open,E073
RMA-0011,NIC-CUST0002,INV-60213,A-20003,1,2025-10-11,No longer needed,Return to vendor,CM-7023,3021.66,2025-10-23,Awaiting return,E067
RMA-0012,NIC-CUST0002,INV-60063,A-20101,1,2025-11-05,Damaged in transit,Return to vendor,CM-7557,3237.68,2025-11-12,Open,E073
RMA-0013,NIC-CUST0001,INV-60067,A-20022,3,2025-11-30,Wrong part ordered,Repair,CM-7653,405.62,2025-12-07,Open,E075
RMA-0014,NIC-CUST0013,INV-60096,A-20093,1,2025-07-09,Overshipment,Repair,CM-7999,6745.58,2025-07-13,Awaiting return,E064
RMA-0015,NIC-CUST0020,INV-60046,A-20061,1,2025-06-27,Damaged in transit,Restock w/ 15% fee,,251.79,2025-07-11,Awaiting return,E067
RMA-0016,NIC-CUST0029,INV-60353,A-20039,1,2025-08-15,Defective,Scrap,CM-7022,651.88,2025-08-20,Closed,E067
RMA-0017,NIC-CUST0013,INV-60099,A-20077,1,2025-08-25,Overshipment,Repair,,1231.46,,Closed,E075
RMA-0018,NIC-CUST0039,INV-60221,A-20107,1,2026-02-01,Wrong part shipped,Return to vendor,CM-7937,3711.05,2026-02-03,Closed,E065
RMA-0019,NIC-CUST0004,INV-60293,A-20034,1,2025-07-12,Wrong part shipped,Scrap,,106.98,2025-07-16,Awaiting return,E068
RMA-0020,NIC-CUST0035,INV-60052,A-20003,1,2026-02-08,Wrong part ordered,Return to vendor,CM-7891,6379.06,2026-02-18,Closed,E066
RMA-0021,NIC-CUST0006,INV-60283,A-20020,1,2025-06-19,No longer needed,Restock,,588.91,2025-06-29,Closed,E074
RMA-0022,NIC-CUST0040,INV-60013,A-20030,1,2025-07-01,No longer needed,Scrap,,214.55,2025-07-04,Closed,E073
RMA-0023,NIC-CUST0008,INV-60094,A-20039,1,2025-05-11,Damaged in transit,Return to vendor,CM-7371,562.68,2025-05-15,Awaiting return,E067
RMA-0024,NIC-CUST0039,INV-60009,A-20114,1,2026-02-15,Wrong part ordered,Repair,CM-7986,885.78,2026-02-22,Awaiting return,E065
RMA-0025,NIC-CUST0029,INV-60124,A-20076,1,2025-09-11,No longer needed,Scrap,CM-7313,1090.02,,Awaiting return,E065
RMA-0026,NIC-CUST0019,INV-60220,A-20031,1,2026-01-08,Wrong part ordered,Return to vendor,,193.34,2026-01-16,Closed,E065
RMA-0027,NIC-CUST0035,INV-60322,A-20076,1,2026-02-14,Damaged in transit,Restock w/ 15% fee,CM-7489,2534.94,2026-02-16,Awaiting return,E064
