freight_invoice_id,carrier,shipment_id,invoice_date,quoted_amount,billed_amount,accessorials,audit_status
FI-00001,FedEx Ground,SH-50001,2025-09-20,507.89,558.68,Reweigh,Approved
FI-00002,Company Truck,SH-50003,2025-09-08,112.46,122.58,Residential,Approved
FI-00003,Company Truck,SH-50004,2025-09-03,149.42,162.87,,Approved
FI-00004,Customer Pickup,SH-50005,2025-06-12,97.68,116.24,Residential,Approved
FI-00005,UPS Ground,SH-50006,2025-12-28,273.32,300.65,Residential,Disputed
FI-00006,UPS Ground,SH-50007,2025-10-27,236.03,233.67,,Disputed
FI-00007,LTL - XPO,SH-50008,2025-10-23,191.26,218.04,,Pending
FI-00008,Company Truck,SH-50009,2026-01-17,178.66,180.45,Liftgate,Disputed
FI-00009,LTL - Estes,SH-50010,2025-08-14,347.41,382.15,Redelivery,Approved
FI-00010,FedEx Ground,SH-50011,2025-08-09,248.25,295.42,,Approved
FI-00011,LTL - XPO,SH-50012,2025-10-07,84.79,85.64,,Pending
FI-00012,Company Truck,SH-50015,2025-07-02,156.06,159.18,,Disputed
FI-00013,UPS Ground,SH-50016,2026-01-09,208.31,204.14,,Approved
FI-00014,UPS Ground,SH-50017,2025-09-07,431.92,518.3,,Pending
FI-00015,UPS Ground,SH-50020,2025-11-03,219.86,252.84,Liftgate,Approved
FI-00016,LTL - Estes,SH-50021,2025-12-07,200.37,228.42,,Disputed
FI-00017,FedEx Ground,SH-50022,2025-08-17,421.71,438.58,,Approved
FI-00018,LTL - Estes,SH-50023,2025-06-28,234.89,284.22,Liftgate,Approved
FI-00019,Company Truck,SH-50024,2026-02-07,335.32,382.26,Liftgate,Approved
FI-00020,Company Truck,SH-50025,2026-02-14,183.82,193.01,Liftgate,Approved
FI-00021,Customer Pickup,SH-50026,2026-04-12,302.01,356.37,,Approved
FI-00022,UPS Ground,SH-50027,2026-04-14,146.74,145.27,,Approved
FI-00023,FedEx Ground,SH-50028,2025-12-29,231.95,282.98,Liftgate,Disputed
FI-00024,Company Truck,SH-50029,2026-01-23,359.76,352.56,,Approved
FI-00025,UPS Ground,SH-50030,2025-09-27,166.77,198.46,,Pending
