Item Id,Warehouse,Planning Method,Reorder Point,Reorder Qty,Safety Stock,Lead Time Days,Abc Class,Last Reviewed
SKF-6205-2RS1,MAIN,ROP,45,88,15,15,A,2026-01-04
SKF-6308-2Z,MAIN,ROP,96,192,32,14,C,2025-11-25
TIM-LM11949-LM11910,MAIN,Min/Max,28,338,9,17,C,2025-11-09
GAT-B62,MAIN,ROP,83,289,27,4,B,2025-12-23
DOD-TXT315,MAIN,Min/Max,108,215,36,14,B,2025-10-31
HEN-243,MAIN,Min/Max,62,240,20,4,C,2025-12-23
KIM-G10,MAIN,Min/Max,81,281,27,21,B,2025-05-06
SIG-SF18-80,MAIN,Min/Max,56,131,18,3,B,2025-07-12
ULI-S-4123,MAIN,Min/Max,10,170,3,13,B,2025-01-10
3M-SF401AF,MAIN,Min/Max,50,84,16,17,A,2025-10-06
BRI-HHCS-0500-13-200-G8 ,MAIN,ROP,92,79,30,15,C,2025-11-12
TIMI-1000,MAIN,ROP,44,84,14,36,A,2024-08-17
SPRO-1002,MAIN,Min/Max,14,132,4,13,C,2025-03-26
SHEA-1003,MAIN,Min/Max,54,133,18,7,B,2024-07-28
SPRO-1004,MAIN,ROP,56,177,18,25,C,2025-09-13
AC-1006,MAIN,Min/Max,45,169,15,25,A,2025-04-28
SHEA-1007,MAIN,Min/Max,28,161,9,10,A,2024-12-10
MOUN-1008,MAIN,ROP,41,52,13,25,C,2025-05-24
SPRO-1009,MAIN,ROP,45,172,15,31,B,2025-11-03
GEAR-1010,MAIN,ROP,47,85,15,35,B,2025-04-13
SPRO-1011,MAIN,ROP,13,148,4,20,B,2024-11-10
ROLL-1012,MAIN,ROP,49,182,16,31,C,2025-08-01
TIMI-1014 ,MAIN,Min/Max,55,189,18,40,B,2026-02-06
SPRO-1015,MAIN,Min/Max,35,160,11,42,A,2024-11-17
GEAR-1016,MAIN,ROP,44,122,14,30,B,2026-01-12
TIMI-1017,MAIN,ROP,35,173,11,42,B,2024-10-31
MOUN-1018,MAIN,Min/Max,11,95,3,31,B,2026-02-21
SHEA-1019,MAIN,ROP,9,52,3,16,B,2025-03-29
TIMI-1020,MAIN,Min/Max,59,163,19,8,A,2025-05-07
ROLL-1021,MAIN,Min/Max,4,101,1,20,A,2026-01-07
SHEA-1025,MAIN,Min/Max,24,186,8,23,C,2025-09-06
ROLL-1026,MAIN,Min/Max,13,39,4,39,A,2026-01-02
SPRO-1027,MAIN,Min/Max,57,183,19,16,C,2024-08-07
SHEA-1028,MAIN,Min/Max,55,44,18,39,A,2024-12-04
MOUN-1029 ,MAIN,Min/Max,8,103,2,26,C,2025-02-02
TIMI-1030,MAIN,ROP,60,137,20,22,C,2024-08-19
MOUN-1031,MAIN,Min/Max,51,153,17,19,C,2024-08-25
